Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
345;5800179620;"Technology, Pedagogy and Education";journal;"17475139, 1475939X";"Routledge";No;No;1,128;Q1;53;50;121;2964;675;120;3,91;59,28;59,84;0;11;United Kingdom;Western Europe;"Routledge";"2003-2025";"Communication (Q1); Computer Science Applications (Q1); Education (Q1); Information Systems (Q1)";"Computer Science; Social Sciences"
346;12874;"Cognitive Science";journal;"03640213, 15516709";"Wiley-Blackwell";No;No;1,126;Q1;141;122;428;8445;1218;383;2,53;69,22;45,07;0;7;United States;Northern America;"Wiley-Blackwell";"1977-2025";"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Cognitive Neuroscience (Q2)";"Computer Science; Neuroscience; Psychology"
347;18089;"Advances in Engineering Software";journal;"18735339, 09659978";"Elsevier Ltd";No;No;1,124;Q1;107;141;351;7650;2554;350;7,58;54,26;21,11;0;23;United Kingdom;Western Europe;"Elsevier Ltd";"1982-1983, 1992-2025";"Engineering (miscellaneous) (Q1); Software (Q1)";"Computer Science; Engineering"
348;21100791825;"Bioprinting";journal;"24058866";"Elsevier B.V.";No;No;1,123;Q1;46;51;207;7172;1588;207;6,87;140,63;36,74;2;15;Netherlands;Western Europe;"Elsevier B.V.";"2016-2025";"Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering"
349;21101039775;"Machine Learning: Science and Technology";journal;"26322153";"Institute of Physics Publishing";Yes;No;1,119;Q1;41;319;412;18453;2483;412;4,97;57,85;21,48;2;23;United Kingdom;Western Europe;"Institute of Physics Publishing";"2020-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
350;13681;"Computer Communications";journal;"1873703X, 01403664";"Elsevier B.V.";No;No;1,114;Q1;138;326;1056;15356;6944;1043;5,93;47,10;27,27;1;76;Netherlands;Western Europe;"Elsevier B.V.";"1978-2025";"Computer Networks and Communications (Q1)";"Computer Science"
351;19700187627;"International Journal of Digital Earth";journal;"17538955, 17538947";"Taylor and Francis Ltd.";Yes;No;1,111;Q1;69;345;439;20101;2468;433;5,56;58,26;35,62;2;157;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2025";"Computer Science Applications (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Software (Q1)";"Computer Science; Earth and Planetary Sciences"
352;18186;"Engineering with Computers";journal;"14355663, 01770667";"Springer London";No;No;1,110;Q1;93;253;974;14399;6774;968;6,81;56,91;19,31;0;22;United Kingdom;Western Europe;"Springer London";"1985-2025";"Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Modeling and Simulation (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
353;19700177325;"China Communications";journal;"16735447";"China Institute of Communication";No;No;1,108;Q1;70;173;754;4213;2843;729;3,40;24,35;29,92;0;25;China;Asiatic Region;"China Institute of Communication";"2008-2024";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
354;2600147402;"Ethics and Information Technology";journal;"13881957";"Springer Netherlands";No;No;1,107;Q1;79;68;206;4182;1235;202;5,43;61,50;36,97;1;20;Netherlands;Western Europe;"Springer Netherlands";"1999-2025";"Computer Science Applications (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
355;21101186345;"ACM Transactions on Quantum Computing";journal;"26436817";"Association for Computing Machinery";No;No;1,105;Q1;17;24;67;1482;425;65;6,60;61,75;12,61;0;0;United States;Northern America;"Association for Computing Machinery";"2020-2025";"Computational Theory and Mathematics (Q1); Computer Science (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics; Physics and Astronomy"
356;12125;"Behaviour and Information Technology";journal;"13623001, 0144929X";"Taylor and Francis Ltd.";No;No;1,103;Q1;103;396;498;34153;3149;491;5,83;86,24;43,18;0;87;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1982-2025";"Arts and Humanities (miscellaneous) (Q1); Human-Computer Interaction (Q1); Social Sciences (miscellaneous) (Q1); Developmental and Educational Psychology (Q2)";"Arts and Humanities; Computer Science; Psychology; Social Sciences"
357;28455;"Computational Complexity";journal;"14208954, 10163328";"Birkhauser Verlag Basel";No;No;1,103;Q1;43;13;44;404;57;44;1,17;31,08;6,90;0;0;Switzerland;Western Europe;"Birkhauser Verlag Basel";"1991-1996, 1998-2025";"Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Mathematics (miscellaneous) (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
358;24800;"Neural Computing and Applications";journal;"09410643, 14333058";"Springer London";No;No;1,102;Q1;146;1375;3832;72689;26087;3781;6,52;52,86;28,05;1;315;United Kingdom;Western Europe;"Springer London";"1993-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
359;18300156720;"IEEE Intelligent Transportation Systems Magazine";journal;"19411197, 19391390";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,100;Q1;63;79;325;3510;1743;288;5,73;44,43;28,40;0;30;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2009-2025";"Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
360;18016;"Autonomous Robots";journal;"15737527, 09295593";"Springer Netherlands";No;No;1,096;Q1;135;28;204;1225;1147;199;5,88;43,75;18,33;0;1;Netherlands;Western Europe;"Springer Netherlands";"1994-2025";"Artificial Intelligence (Q1)";"Computer Science"
361;21100806003;"Engineering Science and Technology, an International Journal";journal;"22150986";"Elsevier B.V.";Yes;No;1,093;Q1;94;215;454;10857;3439;454;7,15;50,50;19,14;0;68;Netherlands;Western Europe;"Elsevier B.V.";"2014-2025";"Civil and Structural Engineering (Q1); Computer Networks and Communications (Q1); Electronic, Optical and Magnetic Materials (Q1); Fluid Flow and Transfer Processes (Q1); Hardware and Architecture (Q1); Mechanical Engineering (Q1); Metals and Alloys (Q1); Biomaterials (Q2)";"Chemical Engineering; Computer Science; Engineering; Materials Science"
362;21101076323;"Digital Geography and Society";journal;"26663783";"Elsevier Ltd";Yes;No;1,091;Q1;14;30;61;2381;283;60;4,20;79,37;49,02;1;15;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2025";"Computer Science Applications (Q1); Development (Q1); Geography, Planning and Development (Q1); Information Systems (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
363;4700152622;"TechTrends";journal;"87563894";"Springer New York";No;No;1,091;Q1;63;113;334;5410;1524;282;4,44;47,88;57,38;1;28;United States;Northern America;"Springer New York";"1982, 1985-1996, 2000, 2002, 2004, 2006-2025";"Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
364;21101192679;"Bioelectronic Medicine";journal;"23328886";"BioMed Central Ltd";Yes;No;1,089;Q1;27;28;68;1625;310;64;4,98;58,04;25,36;0;6;United Kingdom;Western Europe;"BioMed Central Ltd";"2014-2016, 2018-2025";"Biomedical Engineering (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Engineering; Medicine"
365;28888;"Computer Law and Security Review";journal;"02673649";"Elsevier Ltd";No;No;1,085;Q1;62;135;236;2277;1241;234;4,89;16,87;40,09;13;64;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2025";"Business, Management and Accounting (miscellaneous) (Q1); Computer Networks and Communications (Q1); Law (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
366;21100854164;"IEEE Transactions on Computational Imaging";journal;"23339403";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,082;Q1;45;139;298;7716;1884;298;5,35;55,51;25,43;0;5;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2018, 2020-2025";"Computational Mathematics (Q1); Computer Science Applications (Q1); Signal Processing (Q1)";"Computer Science; Mathematics"
367;21100940460;"Network Neuroscience";journal;"24721751";"";Yes;No;1,078;Q1;39;45;169;3598;591;167;3,03;79,96;33,20;0;3;United States;Northern America;"";"2017-2024";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computer Science Applications (Q1); Neuroscience (miscellaneous) (Q2)";"Computer Science; Mathematics; Neuroscience"
368;4700152301;"Journal of Field Robotics";journal;"15564967, 15564959";"John Wiley &amp; Sons Inc.";No;No;1,075;Q1;120;220;218;11208;1617;217;7,24;50,95;19,88;3;55;United States;Northern America;"John Wiley &amp; Sons Inc.";"2006-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1)";"Computer Science; Engineering"
369;21101096774;"Intelligent Medicine";journal;"20969376, 26671026";"Chinese Medical Association";Yes;No;1,075;Q2;14;33;82;1456;513;68;7,50;44,12;36,43;0;12;China;Asiatic Region;"Chinese Medical Association";"2021-2025";"Biomedical Engineering (Q1); Health Informatics (Q1); Medicine (miscellaneous) (Q1); Artificial Intelligence (Q2)";"Computer Science; Engineering; Medicine"
370;19700167026;"IEEE Transactions on Learning Technologies";journal;"19391382";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,071;Q1;67;167;218;10545;1358;214;5,72;63,14;38,10;0;56;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2008-2025";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering; Social Sciences"
371;21101090720;"Frontiers in Digital Health";journal;"2673253X";"Frontiers Media SA";Yes;No;1,070;Q1;32;223;712;9951;3061;663;3,91;44,62;44,03;0;75;Switzerland;Western Europe;"Frontiers Media SA";"2019-2025";"Biomedical Engineering (Q1); Computer Science Applications (Q1); Health Informatics (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Engineering; Medicine"
372;27188;"Language Learning and Technology";journal;"10943501";"";Yes;Yes;1,070;Q1;96;55;87;3049;346;85;4,66;55,44;50,00;0;12;United States;Northern America;"";"1997-2025";"Computer Science Applications (Q1); Education (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
373;17300154988;"BioData Mining";journal;"17560381";"BioMed Central Ltd";Yes;No;1,068;Q1;42;60;115;3624;819;110;7,54;60,40;42,59;0;26;United Kingdom;Western Europe;"BioMed Central Ltd";"2009-2025";"Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Biochemistry (Q2); Genetics (Q2); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
374;21100894112;"Journal of Digital Learning in Teacher Education";journal;"21532974, 23327383";"Taylor and Francis Ltd.";No;No;1,068;Q1;34;17;54;764;200;40;4,25;44,94;58,82;0;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2025";"Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
375;21101132928;"Intelligent and Converged Networks";journal;"27086240";"Tsinghua University Press";Yes;Yes;1,065;Q1;21;26;80;1046;366;77;4,15;40,23;25,00;0;6;United States;Northern America;"Tsinghua University Press";"2020-2024";"Computer Networks and Communications (Q1)";"Computer Science"
376;144889;"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations";journal;"15472450, 15472442";"Taylor and Francis Ltd.";No;No;1,065;Q1;64;106;147;4453;779;146;5,10;42,01;27,72;0;59;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004-2025";"Aerospace Engineering (Q1); Applied Mathematics (Q1); Automotive Engineering (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
377;21101059781;"Digital Biomarkers";journal;"2504110X";"S. Karger AG";Yes;No;1,061;Q1;29;24;53;1057;285;53;3,38;44,04;45,12;0;3;Switzerland;Western Europe;"S. Karger AG";"2017-2025";"Computer Science Applications (Q1); Health Informatics (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Medicine"
378;21100368801;"IEEE/ACM Transactions on Audio Speech and Language Processing";journal;"23299304, 23299290";"IEEE Advancing Technology for Humanity";No;No;1,061;Q1;92;428;850;25703;6788;849;6,43;60,05;23,70;0;19;United States;Northern America;"IEEE Advancing Technology for Humanity";"2014-2024";"Acoustics and Ultrasonics (Q1); Computational Mathematics (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1); Media Technology (Q1); Signal Processing (Q1); Speech and Hearing (Q1)";"Computer Science; Engineering; Health Professions; Mathematics; Physics and Astronomy"
379;21101224376;"IEEE Internet of Things Magazine";journal;"25763199, 25763180";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,060;Q1;29;111;287;1463;1291;273;4,57;13,18;25,51;0;36;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2024";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
380;25535;"IEEE Transactions on Visualization and Computer Graphics";journal;"10772626";"IEEE Computer Society";No;No;1,059;Q1;175;929;1264;51676;8643;1238;6,55;55,63;29,92;0;55;United States;Northern America;"IEEE Computer Society";"1995-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
381;21101054787;"Quantum Machine Intelligence";journal;"25244914, 25244906";"Springer Science and Business Media Deutschland GmbH";No;No;1,059;Q1;23;88;103;4255;628;103;5,12;48,35;18,95;0;6;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2019-2025";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
382;26324;"Random Structures and Algorithms";journal;"10429832, 10982418";"John Wiley and Sons Ltd";No;No;1,055;Q1;73;63;180;1874;215;179;1,03;29,75;15,72;0;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1990-2025";"Applied Mathematics (Q1); Computer Graphics and Computer-Aided Design (Q1); Mathematics (miscellaneous) (Q1); Software (Q1)";"Computer Science; Mathematics"
383;18159;"Computers and Electrical Engineering";journal;"00457906";"Elsevier Ltd";No;No;1,053;Q1;106;735;1638;33795;11465;1595;7,17;45,98;26,90;0;231;United Kingdom;Western Europe;"Elsevier Ltd";"1973-1984, 1986-2025";"Computer Science (miscellaneous) (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
384;19268;"International Journal of High Performance Computing Applications";journal;"10943420, 17412846";"SAGE Publications Inc.";No;No;1,051;Q1;69;45;115;1822;424;106;2,92;40,49;14,47;0;3;United States;Northern America;"SAGE Publications Inc.";"1987-2025";"Hardware and Architecture (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
385;19700182731;"Egyptian Informatics Journal";journal;"11108665, 20904754";"Elsevier B.V.";Yes;No;1,050;Q1;53;117;167;5751;1399;167;7,89;49,15;29,73;0;26;Netherlands;Western Europe;"Elsevier B.V.";"2010-2025";"Computer Science Applications (Q1); Information Systems (Q1); Management Science and Operations Research (Q1)";"Computer Science; Decision Sciences"
386;21100824892;"Law, Innovation and Technology";journal;"1757997X, 17579961";"Taylor and Francis Ltd.";No;No;1,049;Q1;27;25;61;613;282;60;3,07;24,52;34,78;3;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2024";"Biotechnology (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Law (Q1); Artificial Intelligence (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Social Sciences"
